,date,price
0,2022-04-01,3283.3028425717257
1,2022-04-02,3451.1960908672754
2,2022-04-03,3440.3362384891684
3,2022-04-04,3521.5847247785246
4,2022-04-05,3520.9671175043636
5,2022-04-06,3422.9698837547116
6,2022-04-07,3171.371104498954
7,2022-04-08,3232.834988999582
8,2022-04-09,3192.0250912893603
9,2022-04-10,3265.938067729151
10,2022-04-11,3219.159553453764
11,2022-04-12,2992.7021064252435
12,2022-04-13,3038.209421996366
13,2022-04-14,3121.399823462041
14,2022-04-15,3023.417211885316
15,2022-04-16,3045.42807480128
16,2022-04-17,3066.3580141449797
17,2022-04-18,2995.719421019825
18,2022-04-19,3061.8905711469047
19,2022-04-20,3104.688447526111
20,2022-04-21,3079.6764776018495
21,2022-04-22,2987.4888760341605
22,2022-04-23,2967.085285238213
23,2022-04-24,2940.6879777714407
24,2022-04-25,2922.901865199808
25,2022-04-26,3008.3363470853
26,2022-04-27,2806.748835957046
27,2022-04-28,2889.5922230230817
28,2022-04-29,2932.455083612903
29,2022-04-30,2817.4898821916195
30,2022-05-01,2738.1741359527714
31,2022-05-02,2832.513106895354
32,2022-05-03,2861.3723755560436
33,2022-05-04,2786.0472478011084
34,2022-05-05,2942.052313122658
35,2022-05-06,2753.936566546688
36,2022-05-07,2699.7072470893745
37,2022-05-08,2641.229106940243
38,2022-05-09,2517.8299224886478
39,2022-05-10,2249.8909622207443
40,2022-05-11,2344.797715643986
41,2022-05-12,2080.910243657776
42,2022-05-13,1966.6991711336661
43,2022-05-14,2010.214051125259
44,2022-05-15,2064.229357512243
45,2022-05-16,2147.047447880575
46,2022-05-17,2025.8886983912162
47,2022-05-18,2095.178884796724
48,2022-05-19,1915.1771232664505
49,2022-05-20,2023.8482593608173
50,2022-05-21,1963.9909395294865
51,2022-05-22,1978.1471325624789
52,2022-05-23,2046.6463496545232
53,2022-05-24,1974.5811944790914
54,2022-05-25,1979.770545006472
55,2022-05-26,1944.8428445072448
56,2022-05-27,1807.9694742881136
57,2022-05-28,1724.8757340323443
58,2022-05-29,1798.6948545788846
59,2022-05-30,1814.9831598025937
60,2022-05-31,1995.9364841552344
61,2022-06-01,1944.078766836179
62,2022-06-02,1828.8926546074292
63,2022-06-03,1833.089840845753
64,2022-06-04,1776.979907458187
65,2022-06-05,1804.2616695112486
66,2022-06-06,1805.3313949894373
67,2022-06-07,1860.1813068416047
68,2022-06-08,1818.3877119829308
69,2022-06-09,1794.539625671828
70,2022-06-10,1788.4182866616045
71,2022-06-11,1663.844367412088
72,2022-06-12,1530.0386174317211
73,2022-06-13,1454.6867601728409
74,2022-06-14,1205.5952855404787
75,2022-06-15,1214.8662649132034
76,2022-06-16,1230.3643353556051
77,2022-06-17,1068.6035748646073
78,2022-06-18,1087.8139244584365
79,2022-06-19,995.2525692707909
80,2022-06-20,1125.7540917942745
81,2022-06-21,1132.0543935828048
82,2022-06-22,1124.5613920165545
83,2022-06-23,1051.0740681589236
84,2022-06-24,1144.4807534808065
85,2022-06-25,1229.3040854466553
86,2022-06-26,1244.2862044953927
87,2022-06-27,1201.237790641909
88,2022-06-28,1194.2245084746116
89,2022-06-29,1143.5335357209958
90,2022-06-30,1098.9055176105344
91,2022-07-01,1057.6309990608017
92,2022-07-02,1068.8194401301964
93,2022-07-03,1068.5415025999594
94,2022-07-04,1074.6073175787587
95,2022-07-05,1153.3483147880897
96,2022-07-06,1134.017069659217
97,2022-07-07,1188.72564292538
98,2022-07-08,1240.3784056617153
99,2022-07-09,1233.5146792602989
100,2022-07-10,1216.8497068484603
101,2022-07-11,1169.012707661018
102,2022-07-12,1097.4494380477286
103,2022-07-13,1040.7971455029597
104,2022-07-14,1112.9207827012565
105,2022-07-15,1191.1308371103116
106,2022-07-16,1234.0991389763224
107,2022-07-17,1355.04564021949
108,2022-07-18,1344.7202840019017
109,2022-07-19,1570.6589588642053
110,2022-07-20,1542.6298214332235
111,2022-07-21,1527.4139307593093
112,2022-07-22,1576.8252394976823
113,2022-07-23,1536.124922238913
114,2022-07-24,1552.4964891908746
115,2022-07-25,1601.2079670127046
116,2022-07-26,1450.4822852139405
117,2022-07-27,1438.9880382230651
118,2022-07-28,1636.9491814677851
119,2022-07-29,1723.5485206790597
120,2022-07-30,1739.0421771356112
121,2022-07-31,1696.7850982136515
122,2022-08-01,1682.011373614746
123,2022-08-02,1636.0185563573557
124,2022-08-03,1638.3786826572205
125,2022-08-04,1621.3413236364065
126,2022-08-05,1612.4189067269824
127,2022-08-06,1725.3826270211505
128,2022-08-07,1693.2965918360276
129,2022-08-08,1699.0064178886953
130,2022-08-09,1775.7013555270828
131,2022-08-10,1698.9661290126492
132,2022-08-11,1852.8785552656473
133,2022-08-12,1881.4274054352998
134,2022-08-13,1959.3309247187408
135,2022-08-14,1982.4118280514233
136,2022-08-15,1936.7011636052605
137,2022-08-16,1908.2776419059185
138,2022-08-17,1880.6001012594395
139,2022-08-18,1834.8264526426372
140,2022-08-19,1850.1112910473696
141,2022-08-20,1618.5325042633535
142,2022-08-21,1579.4157230953704
143,2022-08-22,1624.149982884847
144,2022-08-23,1622.30703457785
145,2022-08-24,1665.7919073919315
146,2022-08-25,1657.7936424663385
147,2022-08-26,1697.0769719636442
148,2022-08-27,1510.1891114840514
149,2022-08-28,1496.0554659420902
150,2022-08-29,1438.7470503278116
151,2022-08-30,1555.1774560415913
152,2022-08-31,1525.400116232047
153,2022-09-01,1552.5629662281337
154,2022-09-02,1588.9803510869067
155,2022-09-03,1575.1766307276075
156,2022-09-04,1555.6740772078124
