,date,price
0,2022-04-01,45528.40715313835
1,2022-04-02,46270.20070585378
2,2022-04-03,45842.14476317382
3,2022-04-04,46434.562982661664
4,2022-04-05,46622.63571309101
5,2022-04-06,45635.45438126673
6,2022-04-07,43198.77526936491
7,2022-04-08,43515.15032279806
8,2022-04-09,42315.70972421807
9,2022-04-10,42796.39747810973
10,2022-04-11,42274.907370256085
11,2022-04-12,39603.965159284155
12,2022-04-13,40205.67794073206
13,2022-04-14,41205.16871904067
14,2022-04-15,39959.457069033735
15,2022-04-16,40586.59730938673
16,2022-04-17,40450.37930543977
17,2022-04-18,39739.11925622209
18,2022-04-19,40833.5379650337
19,2022-04-20,41498.12244669832
20,2022-04-21,41397.220477279625
21,2022-04-22,40528.54148675958
22,2022-04-23,39756.848993471016
23,2022-04-24,39561.78019075613
24,2022-04-25,39469.04986198146
25,2022-04-26,40488.877917622376
26,2022-04-27,38134.21545068938
27,2022-04-28,39237.94931747103
28,2022-04-29,39741.766645809636
29,2022-04-30,38650.55013809267
30,2022-05-01,37820.61176529208
31,2022-05-02,38537.65476669535
32,2022-05-03,38561.56539902362
33,2022-05-04,37758.496107734
34,2022-05-05,39699.02404125388
35,2022-05-06,36612.229548803036
36,2022-05-07,36116.394294982965
37,2022-05-08,35573.31019883488
38,2022-05-09,34070.31219757961
39,2022-05-10,30269.586956629482
40,2022-05-11,31026.93386836242
41,2022-05-12,28913.48836365432
42,2022-05-13,29126.11597686014
43,2022-05-14,29310.728959858257
44,2022-05-15,30189.333177005963
45,2022-05-16,31319.309111130002
46,2022-05-17,29923.606993639707
47,2022-05-18,30502.19328027689
48,2022-05-19,28772.200501112577
49,2022-05-20,30382.40624219559
50,2022-05-21,29256.813374416255
51,2022-05-22,29491.507947760598
52,2022-05-23,30351.050417138096
53,2022-05-24,29163.167775739188
54,2022-05-25,29655.02613175249
55,2022-05-26,29584.949851985926
56,2022-05-27,29346.781442431617
57,2022-05-28,28646.65218193245
58,2022-05-29,29088.236452817226
59,2022-05-30,29492.503214953642
60,2022-05-31,31740.94072516695
61,2022-06-01,31865.749621173167
62,2022-06-02,29833.450330205254
63,2022-06-03,30481.013996026013
64,2022-06-04,29714.143487149733
65,2022-06-05,29872.3603087139
66,2022-06-06,29917.764052456198
67,2022-06-07,31372.5847629755
68,2022-06-08,31265.469277693348
69,2022-06-09,30229.236836130378
70,2022-06-10,30101.187521431468
71,2022-06-11,29101.2982596468
72,2022-06-12,28374.14499732395
73,2022-06-13,26767.269173221313
74,2022-06-14,22525.768350391198
75,2022-06-15,22244.848968001315
76,2022-06-16,22529.198114649807
77,2022-06-17,20408.690490591813
78,2022-06-18,20473.05288079512
79,2022-06-19,19047.41782828195
80,2022-06-20,20516.41197977524
81,2022-06-21,20636.75891240637
82,2022-06-22,20700.923933039136
83,2022-06-23,19983.566482863105
84,2022-06-24,21100.270533511088
85,2022-06-25,21262.71348295613
86,2022-06-26,21525.88036221139
87,2022-06-27,21052.80539783573
88,2022-06-28,20751.477530790766
89,2022-06-29,20282.542479269694
90,2022-06-30,20108.529472889782
91,2022-07-01,19608.397493423083
92,2022-07-02,19407.447430262473
93,2022-07-03,19268.227002666128
94,2022-07-04,19310.233218521833
95,2022-07-05,20257.012328592882
96,2022-07-06,20188.779663973284
97,2022-07-07,20566.68722377
98,2022-07-08,21660.596837075183
99,2022-07-09,21858.818749217564
100,2022-07-10,21589.628101459668
101,2022-07-11,20859.81407965063
102,2022-07-12,19998.467839575842
103,2022-07-13,19350.73735007727
104,2022-07-14,20225.23866433186
105,2022-07-15,20574.84059150044
106,2022-07-16,20794.811981436706
107,2022-07-17,21193.08334336837
108,2022-07-18,20824.36275165164
109,2022-07-19,22395.365383103952
110,2022-07-20,23366.90769792785
111,2022-07-21,23313.296731959555
112,2022-07-22,23155.207555248304
113,2022-07-23,22696.902754290055
114,2022-07-24,22506.199573628986
115,2022-07-25,22613.719208248454
116,2022-07-26,21330.295450788173
117,2022-07-27,21235.612316085775
118,2022-07-28,22908.884260468687
119,2022-07-29,23822.067597823116
120,2022-07-30,23847.58331873861
121,2022-07-31,23653.459549430798
122,2022-08-01,23379.70052509082
123,2022-08-02,23333.749243312184
124,2022-08-03,23053.846847482677
125,2022-08-04,22860.42098438317
126,2022-08-05,22678.363633874185
127,2022-08-06,23225.036201942938
128,2022-08-07,22984.57953144855
129,2022-08-08,23197.603469525384
130,2022-08-09,23823.679442453606
131,2022-08-10,23203.680696781623
132,2022-08-11,23948.829553271633
133,2022-08-12,23948.75170368143
134,2022-08-13,24411.379871522615
135,2022-08-14,24433.653747243658
136,2022-08-15,24312.541424891562
137,2022-08-16,24179.014652309197
138,2022-08-17,23913.333725628458
139,2022-08-18,23359.418837070007
140,2022-08-19,23248.38422819264
141,2022-08-20,20945.8339660496
142,2022-08-21,21175.232732989512
143,2022-08-22,21615.761693416986
144,2022-08-23,21387.747114773963
145,2022-08-24,21562.45153991356
146,2022-08-25,21395.45846975991
147,2022-08-26,21618.009019176647
148,2022-08-27,20271.322951706014
149,2022-08-28,20069.953331596196
150,2022-08-29,19659.24670619362
151,2022-08-30,20308.861447891457
152,2022-08-31,19805.35069885804
153,2022-09-01,20023.55444491251
